"company_rank","person","university","university_rank"
"top 50",4058,"rutgers - the state university of new jersey, new brunswick",300
"top 50",4115,"rutgers - the state university of new jersey, new brunswick",300
"total",217,"rutgers - the state university of new jersey, new brunswick",300
"total",220,"rutgers - the state university of new jersey, new brunswick",300
"total",263,"university of limerick",544
"total",280,"rutgers - the state university of new jersey, new brunswick",300
"total",399,"rutgers - the state university of new jersey, new brunswick",300
"total",414,"rutgers - the state university of new jersey, new brunswick",300
"total",465,"rutgers - the state university of new jersey, new brunswick",300
"total",961,"universitia paris descartes",377
"total",962,"rutgers - the state university of new jersey, new brunswick",300
"total",1347,"rutgers - the state university of new jersey, new brunswick",300
"total",1824,"rutgers - the state university of new jersey, new brunswick",300
"total",2536,"rutgers - the state university of new jersey, new brunswick",300
"total",2926,"rutgers - the state university of new jersey, new brunswick",300
"total",2941,"rutgers - the state university of new jersey, new brunswick",300
"total",2942,"chung-ang university",385
"total",2963,"chung-ang university",385
"total",2988,"rutgers - the state university of new jersey, new brunswick",300
"total",3790,"rutgers - the state university of new jersey, new brunswick",300
"total",4016,"sofia university st. kliment ohridski",674
"total",4058,"rutgers - the state university of new jersey, new brunswick",300
"total",4115,"rutgers - the state university of new jersey, new brunswick",300
"total",4739,"rutgers - the state university of new jersey, new brunswick",300
"total",4753,"rutgers - the state university of new jersey, new brunswick",300
"total",5541,"rutgers - the state university of new jersey, new brunswick",300
"total",5760,"sofia university st. kliment ohridski",674
"total",5766,"rutgers - the state university of new jersey, new brunswick",300
"others",217,"rutgers - the state university of new jersey, new brunswick",300
"others",220,"rutgers - the state university of new jersey, new brunswick",300
"others",263,"university of limerick",544
"others",280,"rutgers - the state university of new jersey, new brunswick",300
"others",399,"rutgers - the state university of new jersey, new brunswick",300
"others",414,"rutgers - the state university of new jersey, new brunswick",300
"others",465,"rutgers - the state university of new jersey, new brunswick",300
"others",961,"universitia paris descartes",377
"others",962,"rutgers - the state university of new jersey, new brunswick",300
"others",1347,"rutgers - the state university of new jersey, new brunswick",300
"others",1824,"rutgers - the state university of new jersey, new brunswick",300
"others",2536,"rutgers - the state university of new jersey, new brunswick",300
"others",2926,"rutgers - the state university of new jersey, new brunswick",300
"others",2941,"rutgers - the state university of new jersey, new brunswick",300
"others",2942,"chung-ang university",385
"others",2963,"chung-ang university",385
"others",2988,"rutgers - the state university of new jersey, new brunswick",300
"others",3790,"rutgers - the state university of new jersey, new brunswick",300
"others",4016,"sofia university st. kliment ohridski",674
"others",4739,"rutgers - the state university of new jersey, new brunswick",300
"others",4753,"rutgers - the state university of new jersey, new brunswick",300
"others",5541,"rutgers - the state university of new jersey, new brunswick",300
"others",5760,"sofia university st. kliment ohridski",674
"others",5766,"rutgers - the state university of new jersey, new brunswick",300

